0.014205,0.236700,0.045300,0
0.060267,0.000900,0.112600,0
0.063238,0.021500,0.051600,0
0.061935,0.041800,0.118900,0
0.064057,0.062000,0.103000,0
0.060223,0.082600,0.125200,0
0.063955,0.102800,0.109300,0
0.070191,0.123400,0.131400,0
0.052909,0.143700,0.115600,0
0.064657,0.163900,0.099700,0
0.061135,0.184500,0.121800,0
0.063379,0.204700,0.106000,0
0.063263,0.020500,0.128100,0
0.060826,0.040700,0.112200,0
0.062481,0.061000,0.019600,0
0.063645,0.081600,0.118500,0
0.060006,0.101800,0.025800,0
0.064677,0.122400,0.124800,0
0.060218,0.142600,0.032100,0
0.063573,0.162900,0.016200,0
0.064478,0.183400,0.038400,0
0.061182,0.203700,0.022500,0
0.062501,0.224300,0.044700,0
0.062952,0.244500,0.028800,0
0.059909,0.008800,0.012900,0
0.061539,0.029300,0.035100,0
0.063004,0.049600,0.019200,0
0.062825,0.070100,0.041400,0
0.063648,0.090400,0.025500,0
0.064219,0.110600,0.092800,0
0.011976,0.110400,0.092800,1
0.019965,0.110200,0.093000,1
0.019879,0.109900,0.093600,1
0.007274,0.131200,0.031700,0
0.018814,0.130500,0.032800,1
0.011896,0.129700,0.034100,1
0.015827,0.128700,0.035200,1
0.034889,0.150700,0.099400,1
0.016980,0.150200,0.099400,1
0.014051,0.148600,0.099400,1
0.012253,0.172000,0.038000,0
0.015384,0.170700,0.037100,1
0.019448,0.169200,0.035600,1
0.019994,0.168200,0.034600,1
0.007433,0.192300,0.105300,0
0.019923,0.191500,0.103500,1
0.018767,0.190600,0.101800,1
0.008003,0.190400,0.101100,1
0.014963,0.212500,0.089500,0
0.019894,0.212100,0.088100,1
0.012014,0.211500,0.086800,1
0.020025,0.210700,0.085700,1
0.011077,0.233100,0.111600,0
0.015434,0.232300,0.111000,1
0.015508,0.231000,0.110900,1
0.018270,0.229500,0.110900,1
0.032689,0.251500,0.097200,1
0.011626,0.250800,0.097800,1
0.015700,0.249000,0.099400,1
0.015558,0.017900,0.117900,0
0.015511,0.016400,0.118900,1
0.015901,0.015300,0.119400,1
0.019700,0.014200,0.119600,1
0.013580,0.038200,0.102000,0
0.012957,0.036800,0.101000,1
0.019566,0.033600,0.096300,1
0.020276,0.031200,0.090500,1
0.011180,0.058400,0.086100,0
0.016722,0.055900,0.077700,1
0.032839,0.055300,0.075500,1
0.011155,0.054800,0.072500,1
0.001162,0.079000,0.108300,0
0.015569,0.079000,0.106500,1
0.011970,0.079000,0.105800,1
0.016123,0.079000,0.105700,1
0.079042,0.119800,0.114600,0
0.062961,0.140100,0.098700,0
0.060368,0.160300,0.006000,0
0.065049,0.180900,0.105000,0
0.036572,0.180900,0.104800,1
0.014219,0.181000,0.104800,1
0.014974,0.201100,0.012300,0
0.014837,0.202800,0.012200,1
0.015076,0.204400,0.011400,1
0.014954,0.204900,0.010600,1
0.016996,0.221700,0.111300,0
0.010176,0.222300,0.110400,1
0.015615,0.223700,0.109000,1
0.015690,0.225300,0.108100,1
0.032125,0.241900,0.018600,0
0.016715,0.243400,0.018500,1
0.028282,0.245300,0.018500,1
0.002815,0.006200,0.002700,0
0.019331,0.008100,0.005000,1
0.010109,0.008700,0.006000,1
0.018052,0.009600,0.008100,1
0.012554,0.026800,0.024900,0
0.015232,0.027600,0.026400,1
0.020129,0.027900,0.027200,1
0.020004,0.028100,0.028200,1
0.012222,0.047000,0.009000,0
0.011233,0.047200,0.009600,1
0.017695,0.047500,0.009800,1
0.012078,0.047800,0.009900,1
0.019590,0.067600,0.031100,0
0.018320,0.067700,0.031100,1
0.040978,0.087800,0.015300,0
0.015867,0.087400,0.015900,1
0.015137,0.086300,0.017600,1
0.019831,0.085100,0.018900,1
0.012308,0.108100,0.159400,0
0.020107,0.105400,0.159500,1
0.009532,0.104000,0.159500,1
0.016464,0.100600,0.159500,1
0.015603,0.128600,0.021500,0
0.015496,0.124700,0.019600,1
0.015891,0.121000,0.015900,1
0.049770,0.118500,0.013400,1
0.016887,0.148900,0.005700,0
0.013967,0.148200,0.005100,1
0.013602,0.148000,0.004800,1
0.014384,0.148000,0.004700,1
0.004377,0.169500,0.027800,0
0.013775,0.169400,0.027800,1
