TIME,X
0.117282983,0.431418523
0.195520605,0.430636968
0.194678392,0.429464635
0.184248668,0.50996483
0.11649953,0.506838609
0.154996474,0.502930832
0.341673848,0.588901915
0.166287997,0.586948027
0.137603808,0.580695584
0.150658101,0.667057444
0.190457537,0.66119578
0.195804607,0.657288003
0.195109292,0.748339195
0.183788389,0.744822196
0.078374726,0.744040641
0.19482529,0.82883939
0.117655124,0.826494725
0.196108195,0.823368503
0.151147759,0.907776475
0.151872454,0.902696366
0.178921185,0.896834701
0.320128878,0.982805784
0.113855374,0.98007034
0.153752742,0.973036342
0.151901833,0.064087534
0.155721169,0.05978898
0.192925415,0.055490426
0.126890081,0.143806174
0.191613131,0.13130129
0.19856628,0.121922626
0.16376136,0.218444705
0.321597853,0.216100039
0.109242792,0.214146151
0.152469837,0.308714342
0.117224224,0.308714342
0.157895252,0.308714342
0.358155751,0.706916764
0.13924906,0.707307542
0.145301238,0.792497069
0.147641805,0.798749512
0.146447039,0.8007034
0.09965528,0.86869871
0.152920323,0.874169597
0.15365481,0.88042204
0.163692808,0.951152794
0.276970385,0.958577569
0.189311736,0.031652989
0.098999138,0.033997655
0.176786274,0.037514654
0.149169539,0.107854631
0.197126684,0.109026964
0.195902538,0.109808519
0.110006659,0.18444705
0.173290113,0.185619383
0.118281887,0.186791716
0.179410843,0.264556467
0.155388201,0.341539664
0.148239188,0.33724111
0.19420832,0.332551778
0.196911235,0.41187964
0.09334848,0.406408753
0.161234723,0.393122313
0.151754936,0.487299726
0.155623237,0.472840953
0.487405986,0.463071512
0.136781181,0.579132474
0.133206675,0.578350918
0.140864933,0.578350918
0.134900893,0.661977335
0.091291915,0.66119578
0.135057584,0.657288003
0.182671968,0.734661977
0.113698684,0.732708089
0.194590254,0.729972646
0.129886791,0.819851504
0.153086807,0.818679172
0.156945315,0.818288394
0.159109605,0.899960922
0.195520605,0.899570145
0.093671655,0.899570145
0.184101771,0.98007034
0.114531103,0.062915201
0.194032043,0.077764752
0.14518372,0.090660414
0.188449937,0.153575615
0.157033453,0.159046503
0.108576857,0.161000391
