TIME,Y
0.187088687,0.791744841
0.08487739,0.160725453
0.167218348,0.595372108
0.121298182,0.199499687
0.254034785,0.89931207
0.180517471,0.12257661
0.127614776,0.23014384
0.150139063,0.911819887
0.196656612,0.231394622
0.191573958,0.148217636
0.156005171,0.403377111
0.195452053,0.757973734
0.194707772,0.416510319
0.172741695,0.595997498
0.202630445,0.34521576
0.19306252,0.08630394
0.120446177,0.10068793
0.197253996,0
0.157346835,0.893683552
0.185560953,0.959349593
0.145546067,0.507191995
0.277646114,0.188868043
0.158247806,0.916197624
0.153390395,0.58286429
0.042140003,0.614133834
0.243722579,0.850531582
0.142480805,0.268918074
0.156308759,0.351469669
0.223254857,0.60412758
0.209799044,0.18011257
0.115960906,0.637898687
0.192357411,0.898061288
0.151823488,0.455284553
0.178725321,0.46779237
0.14614345,0.954346467
0.436569649,0.013758599
0.312607725,0.491557223
0.114393999,0.533458412
0.171997415,0.982489056
0.138377468,0.049405879
0.154957302,0.533458412
0.127693121,0.681676048
0.098626998,0.714821764
0.157503526,0.87804878
0.147788703,0.405878674
0.179841742,0.299562226
0.192621827,0.593495935
0.095042698,0.271419637
0.135086963,0.577861163
0.157199937,0.831769856
0.158100909,0.437148218
0.193591351,0.844277674
0.154213021,0.809881176
0.001194767,0.326454034
0.14614345,0.717948718
0.170724303,0.483427142
0.25911744,0.809255785
0.139866029,0.307066917
0.138671263,0.590368981
0.182309621,0.737961226
0.195902538,0.696060038
0.189184425,0.2808005
0.132922673,0.427767355
0.122159981,0.384615385
0.136732216,0.047529706
0.147485114,0.974984365
0.189820981,0.01438399
0.203678314,0.420262664
0.133892197,0.07879925
0.167659041,0.37398374
0.141736525,0.422138837
0.177080069,0.658536585
0.055292228,0.7191995
0.192465136,0.580362727
0.168481667,0.94934334
0.194854669,0.547217011
0.288996396,0.268292683
0.117449467,0.59724828
0.190672987,0.340212633
0.174533845,0.297060663
0.153919226,0.058161351
0.160940928,0.790494059
0.13411744,0.434646654
0.144654889,0.151969981
0.178725321,0.767354597
0.159746161,0.470919325
0.199046145,0.995622264
0.231921811,0.075672295
0.136389455,0.013133208
0.293785255,0.797998749
0.178118145,0.317073171
0.154545989,0.61851157
0.192768725,0.463414634
0.16116617,0.052532833
0.160343544,0.718574109
0.173339079,0.749218261
0.140463413,0.732332708
0.572547791,0.939337086
0.139572234,0.712945591
0.131502664,0.981863665
0.156906142,0.93558474
0.186432545,0.941213258
0.176257443,0.515322076
0.149580852,0.619136961
0.108635616,0.230769231
0.148239188,0.672920575
0.142255563,0.845528455
0.145692965,0.030018762
0.139866029,0.156973108
0.151970385,0.919324578
0.24088256,0.52532833
0.157954011,0.742338962
0.148307741,0.12945591
0.142559151,0.405878674
0.131874804,0.248280175
0.155339235,0.510318949
0.180517471,0.626641651
0.140012927,0.209505941
0.16437833,0.813633521
0.195452053,0.881801126
0.191867753,0.151969981
0.153321843,0.362101313
0.105345111,0.041275797
0.192239893,0.096310194
0.27077131,0.504065041
0.158247806,0.699812383
0.158551395,0.795497186
0.144498198,0.941213258
0.164975713,0.468417761
0.194257286,0.963101939
0.141961767,0.746716698
0.205245221,0.375859912
0.070236603,0.843026892
0.199937324,0.813633521
0.138974851,0.487804878
0.12104356,0.471544715
0.15705304,0.41025641
0.290494751,0.197623515
0.157728768,0.511569731
0.099371279,0.923076923
0.142255563,0.327704816
0.144654889,0.434646654
0.142255563,0.280175109
0.132991225,0.883051907
0.192768725,0.58286429
0.192768725,0.579111945
0.13628173,0.56097561
0.116558289,0.555972483
0.153615638,0.121325829
0.195902538,0.055659787
0.134940066,0.082551595
0.15346874,0.111319575
0.205019978,0.768605378
0.221462708,0.43902439
0.157131385,0.247029393
