TIME,X
0.474147562,0.003516999
0.497521753,0.084017194
0.487270467,0.163345057
0.503965194,0.242282141
0.473801394,0.322782337
0.503162715,0.401719422
0.552224128,0.482219617
0.416258871,0.561547479
0.508685664,0.640484564
0.480976508,0.72098476
0.498631064,0.799921844
0.49771844,0.080109418
0.478545466,0.159046503
0.491566094,0.238374365
0.500723805,0.31887456
0.472094158,0.397811645
0.508843013,0.478311841
0.473762057,0.557248925
0.500157349,0.636576788
0.507277391,0.716686206
0.481346278,0.796014068
0.491723443,0.876514263
0.495271663,0.955451348
0.471331015,0.034388433
0.484154957,0.114497851
0.49568077,0.193825713
0.494272497,0.273935131
0.500747408,0.353262993
0.505239721,0.432200078
0.057227826,0.512700274
0.096399855,0.672137554
0.05847875,0.751465416
0.117720643,0.830402501
0.087147735,0.910902696
0.122401775,0.069949199
0.10683996,0.149277061
0.087958082,0.228214146
0.009141976,0.308714342
0.621858921,0.468151622
0.49534247,0.547479484
0.474942174,0.626416569
0.511769704,0.706916764
0.117807185,0.785853849
0.133715167,0.866354045
0.252741806,0.945291129
0.02214687,0.024228214
0.098767957,0.10472841
0.096155964,0.183665494
0.15412333,0.26416569
0.322392334,0.343102775
0.096832565,0.422430637
0.12275581,0.502540055
0.132857615,0.581867917
0.034435825,0.662368113
0.051933032,0.741305197
0.102670212,0.82063306
0.139891115,0.900742478
0.141031895,0.98007034
0.348551603,0.060179758
0.099861533,0.139116843
0.325602253,0.218053927
0.091679386,0.298554123
0.088382924,0.377881985
0.129490347,0.537319265
0.148112599,0.61625635
0.084661621,0.696756546
0.129569021,0.776084408
0.301984171,0.856193826
0.000590059,0.935521688
0.094818498,0.014067995
0.127507749,0.094568191
0.15023681,0.173505275
0.090876906,0.333333333
0.136256353,0.412270418
0.106666876,0.492770614
0.093614778,0.611176241
0.088603213,0.652207894
0.172399415,0.731144979
0.037779491,0.830793279
0.12855412,0.969910121
0.116941765,0.050019539
0.130796343,0.128956624
0.095550171,0.208284486
0.118546725,0.288393904
0.147058361,0.367721766
0.08669929,0.448221962
0.09095558,0.527159047
