TIME,X
0.094220572,0.431418523
0.157073624,0.430636968
0.156397023,0.429464635
0.14801819,0.50996483
0.093591176,0.506838609
0.124518119,0.502930832
0.274487436,0.588901915
0.133589288,0.586948027
0.110545529,0.580695584
0.121032839,0.667057444
0.153006152,0.66119578
0.15730178,0.657288003
0.156743191,0.748339195
0.147648419,0.744822196
0.062963196,0.744040641
0.156515035,0.82883939
0.094519535,0.826494725
0.157545671,0.823368503
0.121426211,0.907776475
0.122008402,0.902696366
0.143738297,0.896834701
0.257179047,0.982805784
0.091466965,0.98007034
0.123518953,0.973036342
0.122032005,0.064087534
0.12510031,0.05978898
0.15498875,0.055490426
0.101938539,0.143806174
0.153934511,0.13130129
0.1595204,0.121922626
0.131559486,0.218444705
0.258359165,0.216100039
0.087761396,0.214146151
0.122488317,0.308714342
0.094173367,0.308714342
0.126846884,0.308714342
0.287728353,0.706916764
0.11186726,0.707307542
0.116729344,0.792497069
0.118609664,0.798749512
0.117649836,0.8007034
0.080059163,0.86869871
0.12285022,0.874169597
0.123440278,0.88042204
0.131504414,0.951152794
0.222507199,0.958577569
0.152085661,0.031652989
0.079532044,0.033997655
0.142023193,0.037514654
0.119836986,0.107854631
0.158363885,0.109026964
0.157380454,0.109808519
0.088375057,0.18444705
0.139214514,0.185619383
0.095023052,0.186791716
0.14413167,0.264556467
0.124832817,0.341539664
0.119089579,0.33724111
0.156019385,0.332551778
0.158190801,0.41187964
0.074992526,0.406408753
0.129529684,0.393122313
0.121913993,0.487299726
0.125021635,0.472840953
0.391562947,0.463071512
0.109884663,0.579132474
0.107013044,0.578350918
0.11316539,0.578350918
0.108374113,0.661977335
0.073340362,0.66119578
0.108499992,0.657288003
0.14675153,0.734661977
0.091341085,0.732708089
0.156326216,0.729972646
0.104345979,0.819851504
0.122983966,0.818679172
0.126083741,0.818288394
0.127822447,0.899960922
0.157073624,0.899570145
0.075252152,0.899570145
0.147900178,0.98007034
0.092009819,0.062915201
0.155877771,0.077764752
0.116634935,0.090660414
0.151393325,0.153575615
0.126154548,0.159046503
0.087226409,0.161000391
0.201194279,0.229777257
0.131937123,0.243454474
0.115203059,0.247362251
0.110852359,0.302852677
0.117374475,0.309495897
0.114660205,0.316139117
0.102780357,0.381789762
0.102851164,0.389605315
0.246274763,0.460726846
0.092112095,0.460726846
