TIME,Y
0.094220572,0.580362727
0.157073624,0.581613508
0.156397023,0.585365854
0.14801819,0.205128205
0.093591176,0.213258286
0.124518119,0.220137586
0.274487436,0.621638524
0.133589288,0.621638524
0.110545529,0.621638524
0.121032839,0.232020013
0.153006152,0.222639149
0.15730178,0.216385241
0.156743191,0.64727955
0.147648419,0.636647905
0.062963196,0.632270169
0.156515035,0.550969356
0.094519535,0.542839275
0.157545671,0.535959975
0.121426211,0.694183865
0.122008402,0.693558474
0.143738297,0.693558474
0.257179047,0.607879925
0.091466965,0.61163227
0.123518953,0.621638524
0.122032005,0.743589744
0.12510031,0.746716698
0.15498875,0.74796748
0.101938539,0.631644778
0.153934511,0.602251407
0.1595204,0.565978737
0.131559486,0.485928705
0.258359165,0.472170106
0.087761396,0.45340838
0.122488317,0.666041276
0.094173367,0.66166354
0.126846884,0.661038149
0.287728353,0.655409631
0.11186726,0.655409631
0.116729344,0.076297686
0.118609664,0.071294559
0.117649836,0.066291432
0.080059163,0.69043152
0.12285022,0.681676048
0.123440278,0.67604753
0.131504414,0.115697311
0.222507199,0.115697311
0.152085661,0.031269543
0.079532044,0.037523452
0.142023193,0.05065666
0.119836986,0.165103189
0.158363885,0.170106316
0.157380454,0.176360225
0.088375057,0.060037523
0.139214514,0.061288305
0.095023052,0.061913696
0.14413167,0.19449656
0.124832817,0.099437148
0.119089579,0.110068793
0.156019385,0.118198874
0.158190801,0.997498437
0.074992526,0.997498437
0.129529684,0.997498437
0.121913993,0.12257661
0.125021635,0.099437148
0.391562947,0.083802376
0.109884663,0.031894934
0.107013044,0.030018762
0.11316539,0.029393371
0.108374113,0.173858662
0.073340362,0.173858662
0.108499992,0.173858662
0.14675153,0.08630394
0.091341085,0.091307067
0.156326216,0.100062539
0.104345979,0.500938086
0.122983966,0.504065041
0.126083741,0.505315822
0.127822447,0.115697311
0.157073624,0.117573483
0.075252152,0.120700438
0.147900178,0.535959975
0.092009819,0.149468418
0.155877771,0.132582864
0.116634935,0.120700438
0.151393325,0.565353346
0.126154548,0.562226391
0.087226409,0.56097561
0.201194279,0.467166979
0.131937123,0.462789243
0.115203059,0.462789243
0.110852359,0.613508443
0.117374475,0.614759225
0.114660205,0.617886179
0.102780357,0.519074422
0.102851164,0.533458412
0.246274763,0.662288931
0.092112095,0.666666667
0.117822919,0.673545966
0.123660567,0.557223265
0.156279011,0.560350219
0.078713829,0.560350219
0.136311425,0.45340838
0.157474863,0.450906817
0.09333155,0.449656035
0.151251711,0.592870544
0.100459459,0.592870544
0.135965257,0.592245153
0.114605133,0.491557223
0.101482227,0.490931832
0.157325382,0.48217636
0.192485013,0.628517824
0.172281403,0.620387742
0.039345114,0.528455285
0.118153352,0.516572858
0.158324548,0.505941213
0.114589398,0.944340213
0.15218007,0.93558474
0.097422624,0.927454659
0.153360188,0.565353346
0.078084433,0.560350219
0.128837348,0.556597874
0.101899202,0.99249531
0.12627256,0.99249531
0.129474612,0.99249531
0.128727204,0.611006879
0.101993612,0.61163227
0.150142401,0.617886179
0.123463881,0.622889306
0.157687285,0.044402752
0.132896952,0.055659787
0.083662455,0.061913696
0.141629821,0.947467167
0.089862005,0.96372733
0.161550202,0.976235147
0.494469183,0.075046904
0.221460828,0.076297686
0.136051799,0.067542214
0.117343005,0.407754847
0.110458987,0.095059412
0.10610042,0.090056285
0.09185247,0.075046904
0.208322188,0.00750469
0.21411263,0.005628518
0.221004516,0.005628518
0.063671267,0.515947467
0.115903262,0.51782364
0.056173587,0.056285178
0.121780246,0.063164478
0.133691565,0.073796123
0.122094944,0.959349593
0.121709439,0.983114447
0.12349535,0.994996873
0.113952134,0.098811757
0.157325382,0.105065666
0.088902176,0.106316448
