TIME,X,Y,CLASS,DIFFPOSX,DIFFPOSY
0.19513148890062404,0.4314185228604923,0.5803627267041901,1,0.0,0.0
0.2618372600728985,0.4032825322391559,0.7116948092557849,0,0.028135990621336426,0.13157894736842105
0.06346335581729544,0.4306369675654552,0.5816135084427767,1,0.02735443532629933,0.13032581453634087
0.2586274318069144,0.5037123876514262,0.9255784865540962,0,0.07307542008597101,0.34461152882205504
0.06527193925650492,0.4294646346228995,0.5853658536585367,1,0.07424775302852671,0.3408521303258143
0.30654674617370936,0.5099648300117233,0.2051282051282051,1,0.0805001953888238,0.380952380952381
0.0737119953061475,0.5013677217663149,0.4796747967479675,0,0.00859710824540838,0.27506265664160395
0.1201160100346862,0.5068386088315748,0.2132582864290181,1,0.0054708870652598884,0.2669172932330827
0.20259393228042427,0.7588901914810473,0.983739837398374,0,0.25205158264947247,0.7719298245614034
0.05528399647961072,0.5029308323563892,0.2201375859912445,1,0.25595935912465806,0.7650375939849622
0.2709127643579389,0.7522469714732317,0.4959349593495935,0,0.24931613911684247,0.2763157894736841
0.21729070941706102,0.7741305197342712,0.8392745465916199,0,0.021883548261039443,0.3439849624060151
0.08026200019409487,0.5889019148104728,0.6216385240775485,1,0.18522860492379833,0.21804511278195496
0.1929644474824721,0.620945681906995,0.1525953721075672,0,0.032043767096522124,0.4699248120300751
0.08369993808304226,0.5869480265728799,0.6216385240775485,1,0.03399765533411503,0.4699248120300751
0.2289405937326879,0.580695584212583,0.6216385240775485,1,0.006252442360296873,0.0
0.10255156906650989,0.8085189527159046,0.1225766103814884,0,0.22782336850332152,0.49999999999999994
0.14810831948118558,0.6670574443141851,0.2320200125078174,1,0.14146150840171945,0.10964912280701755
0.3168768533850483,0.6611957796014067,0.2226391494684177,1,0.0058616647127783805,0.009398496240601571
0.028269299702954193,0.2856584603360687,0.0856785490931832,0,0.37553731926533807,0.1372180451127819
0.2975038289776638,0.657288003126221,0.2163852407754846,1,0.37162954279015237,0.13095238095238088
0.03216345683782814,0.2508792497069167,0.2570356472795497,0,0.4064087534193043,0.04072681704260656
0.29245283018347595,0.748339194998046,0.647279549718574,1,0.4974599452911293,0.3909774436090224
0.1530778505528856,0.6322782336850331,0.6585365853658537,0,0.11606096131301291,0.011278195488721898
0.15270309902944684,0.7448221961703789,0.6366479049405879,1,0.11254396248534582,0.02192982456140353
0.13039723661253322,0.7440406408753419,0.6322701688555347,1,0.0007815552950369842,0.00438596491228075
0.03501482712486875,0.1215318483782727,0.7385866166353972,0,0.6225087924970693,0.10651629072681709
